Clasa,accuracy,precision,recall,true negative rate
c31,0.968949383241174,0,0,0.973504273504273
c14,0.970650786899192,0,0,0.976883561643836
c15,0.373032752020417,0.325062034739454,0.219798657718121,0.398058252427184
c13,0.868991918332624,0.00778210116731518,0.0363636363636364,0.97468958930277
c33,0.89621437686091,0.00617283950617284,0.0119047619047619,0.962083142987666
c41,0.911527009783071,0,0,0.952021323856064
c18,0.867715865589111,0.0742857142857143,0.0802469135802469,0.931525735294118
c11,0.864313058273075,0.0232558139534884,0.0153061224489796,0.913141314131413
c21,0.897915780518928,0.0261780104712042,0.0847457627118644,0.975
c12,0.955338153977031,0.1,0.0224719101123596,0.962676962676963
c22,0.911101658868567,0,0,0.926070038910506
ecat,0.991918332624415,0.1,0.0909090909090909,0.995728321230243
c17,0.786048490004253,0.0277136258660508,0.127659574468085,0.957247132429614
c23,0.993619736282433,0,0,0.995313165743502
gcat,0.998723947256487,0,0,0.998723947256487
m11,1,0,0,0
Medie,0.891003828158231,0.0431531337493375,0.0430879018885716,0.868291672587165
