Clasa,accuracy,precision,recall,true negative rate
c31,0.968949383241174,0,0,0.973504273504273
c14,0.971076137813696,0,0,0.976893453145058
c15,0.37430880476393,0.328834355828221,0.224832214765101,0.3984375
c13,0.87239472564866,0.00803212851405622,0.0363636363636364,0.974785918173168
c33,0.90004253509145,0.0065359477124183,0.0119047619047619,0.962238398544131
c41,0.913228413441089,0,0,0.952106430155211
c18,0.864313058273075,0.0710382513661202,0.0802469135802469,0.931273062730627
c11,0.868141216503616,0.025,0.0153061224489796,0.91349170775437
c21,0.900893236920459,0.021978021978022,0.0677966101694915,0.974642692485016
c12,0.95618885580604,0.111111111111111,0.0224719101123596,0.962708958422632
c22,0.911101658868567,0,0,0.926070038910506
ecat,0.991918332624415,0.1,0.0909090909090909,0.995728321230243
c17,0.774564015312633,0.0260869565217391,0.127659574468085,0.956636700158646
c23,0.994470438111442,0,0,0.995317156236696
gcat,0.998723947256487,0,0,0.998723947256487
m11,1,0,0,0
Medie,0.891269672479796,0.0436635483144805,0.0423431771701095,0.868284909919191
